Country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AFG,,,,,,,,,,,,,,,,,,,,,,,,,-1.311031179,-1.2509422,-1.100493221,-1.021851004
ALB,,,,,,,,,,,,,,0.132913092,0.479055053,0.424094535,0.188461141,-0.405872294,-0.342094919,-0.273330142,-0.377538769,-0.411854944,-0.492067853,-0.34667039,-0.476024325,-0.34186711,-0.20036604,-0.129856817
DZA,-1.027406327,-0.676360134,-0.854380442,-0.931655144,-1.407458595,-1.328223757,-1.28497037,-1.231996891,-1.298232434,-1.236033714,-1.251619541,-1.259978782,-1.264368131,-1.272207902,-1.470022963,-1.540616258,-1.366110671,-1.707862062,-1.494749341,-1.607333891,-1.378454974,-1.388207282,-1.203696016,-1.140228887,-1.260612009,-1.139482084,-0.977573479,-0.713225698
AGO,-2.251381016,-2.117236119,-2.494221357,-2.649440772,-2.535584616,-2.067433691,-1.879882855,-1.902034014,-1.961315958,-1.495332204,-1.888902129,-1.801113042,-1.749255342,-1.826679811,-1.421323106,-1.11809943,-0.894991116,-1.332217965,-1.169321331,-1.390759033,-1.339244924,-1.357646386,-1.381479669,-1.496398831,-1.387444617,-0.946191269,-0.905925889,-1.128464137
ARG,0.028468817,0.087701997,0.056010801,0.23372316,0.156936986,0.193807628,0.199473636,0.12050664,0.066231376,0.133040602,0.061385858,0.184096493,0.231091235,0.229466449,0.218743396,0.237511573,0.166830181,0.186774936,0.21021377,0.211348715,0.16084536,0.080847326,-0.014474278,-0.088892108,-0.167169247,-0.179215731,-0.182257679,-0.166350137
ARM,,,,,,,,,,,,,,,,,,,0.304988093,0.283161259,0.212855569,0.075522502,-0.092905721,-0.196418519,-0.300450852,-0.13190074,-0.107662314,0.124524312
AUS,0.406322985,0.455996015,0.401800528,0.436333125,0.511233985,0.362369712,0.219935448,0.104944435,0.102038609,0.043532088,0.032997227,-0.029588191,-0.042935795,-0.0945008,-0.214713545,-0.337641971,-0.414839854,-0.252835544,-0.36556662,-0.375459253,-0.506879056,-0.456613124,-0.418246377,-0.467265881,-0.50030207,-0.518015464,-0.5086483,-0.495377089
AUT,1.708143438,1.695101132,1.692484177,1.607127651,1.572522439,1.590183251,1.626001498,1.673439565,1.651710802,1.696846947,1.641605757,1.637991363,1.567953109,1.525017502,1.533797175,1.562083772,1.601137243,1.586735984,1.546002181,1.57799726,1.579151502,1.569151481,1.6172878,1.56386492,1.634041461,1.600527133,1.583516271,1.564520913
AZE,,,,,,,-0.270568844,-0.428267654,-0.541689758,-0.552318128,-0.617632175,-0.711164795,-0.65795343,-1.179247277,-1.204787602,-1.22980135,-0.802640832,-1.044482663,-0.950010528,-0.959623175,-0.752015683,-0.791670029,-0.782359089,-0.877402175,-1.015572175,-0.875388367,-0.660878203,-0.74200455
BGD,-1.423879626,-1.339100676,-1.304705666,-1.154870114,-1.380586721,-1.214584779,-1.212393759,-1.172686265,-1.213176221,-1.231870257,-1.026031124,-1.05456879,-0.785752833,-0.693465121,-0.737199226,-0.915346199,-0.960656611,-1.021701813,-0.885868762,-0.797106445,-0.816760668,-0.831930927,-0.961251873,-0.760372656,-0.768187724,-0.763682598,-0.700130486,-0.45354499
