hs4,code_trade,product_name,hs2_code,hs2_name,section
0101,101,Horses,01,Live animals,Animal Products
0102,102,Bovine,01,Live animals,Animal Products
0103,103,Pigs,01,Live animals,Animal Products
0104,104,Sheep and Goats,01,Live animals,Animal Products
0105,105,Poultry,01,Live animals,Animal Products
0106,106,Other Animals,01,Live animals,Animal Products
0201,201,Bovine Meat,02,Meat & edible offal,Animal Products
0202,202,Frozen Bovine Meat,02,Meat & edible offal,Animal Products
0203,203,Pig Meat,02,Meat & edible offal,Animal Products
0204,204,Sheep and Goat Meat,02,Meat & edible offal,Animal Products
0205,205,Horse Meat,02,Meat & edible offal,Animal Products
0206,206,Edible Offal,02,Meat & edible offal,Animal Products
0207,207,Poultry Meat,02,Meat & edible offal,Animal Products
0208,208,Other Meat,02,Meat & edible offal,Animal Products
0209,209,Animal Fat,02,Meat & edible offal,Animal Products
0210,210,Preserved Meat,02,Meat & edible offal,Animal Products
0301,301,Live Fish,03,"Fish, Crustaceans & Molluscs",Animal Products
0302,302,Non-fillet Fresh Fish,03,"Fish, Crustaceans & Molluscs",Animal Products
0303,303,Non-fillet Frozen Fish,03,"Fish, Crustaceans & Molluscs",Animal Products
0304,304,Fish Fillets,03,"Fish, Crustaceans & Molluscs",Animal Products
0305,305,Dried/Salted/Smoked/Brined Fish,03,"Fish, Crustaceans & Molluscs",Animal Products
0306,306,Crustaceans,03,"Fish, Crustaceans & Molluscs",Animal Products
0307,307,Molluscs,03,"Fish, Crustaceans & Molluscs",Animal Products
0401,401,Milk,04,"Edible products of animal origin, n.e.s.",Animal Products
0402,402,Concentrated Milk,04,"Edible products of animal origin, n.e.s.",Animal Products
0403,403,Fermented Milk Products,04,"Edible products of animal origin, n.e.s.",Animal Products
0404,404,Whey and other milk products,04,"Edible products of animal origin, n.e.s.",Animal Products
0405,405,Butter,04,"Edible products of animal origin, n.e.s.",Animal Products
0406,406,Cheese,04,"Edible products of animal origin, n.e.s.",Animal Products
0407,407,Eggs,04,"Edible products of animal origin, n.e.s.",Animal Products
0408,408,Processed Egg Products,04,"Edible products of animal origin, n.e.s.",Animal Products
0409,409,Honey,04,"Edible products of animal origin, n.e.s.",Animal Products
