Country,Year,ECI,ValueAdded_Agriculture_PctGDP,ValueAdded_Industry_PctGDP,ValueAdded_Services_PctGDP,Employment_Agriculture_Female_Pct,Employment_Agriculture_Pct,Employment_Total_NE_Pct,Employment_to_Population_Ratio,Employment_Industry_Female_Pct,Employment_Industry_Pct,Employment_Services_Female_Pct,Employment_Services_Pct,Labor_Force_Total,Unemployment_Rate_National,Unemployment_Rate_ILO,CO2_Emissions_Industry_Mt,CO2_Emissions_Mt,CO2_Emissions_Per_Capita
AFG,1990,,,,,,,,,,,,,2974181.0,,,0.1471,2.9084,0.24144795718956
AFG,1991,,,,,66.8526138044479,65.3339443028358,,43.382,14.7486550284266,12.5840940661934,18.3985130046643,22.0819616309708,3009251.0,,7.972,0.16,2.8332,0.231491789403262
AFG,1992,,,,,66.5950677825285,65.2672291793183,,43.34,15.6367910190683,12.9133571785906,17.7681411984032,21.8193802016592,3248953.0,,7.958,0.1692,1.8107,0.136358426486866
AFG,1993,,,,,66.7294078241985,65.3170364071118,,43.305,15.8227859622424,12.9826492318938,17.447806213559,21.7002845014774,3636608.0,,7.908,0.1483,1.7729,0.118642815594975
AFG,1994,,,,,67.0103810694947,65.506396762207,,43.249,16.1083218403299,13.0936842157593,16.8814669375166,21.3999190220336,3930551.0,,7.883,0.131,1.6737,0.102991890734693
AFG,1995,,,,,65.8430571857872,64.8310363137852,,43.188,16.9076669658621,13.3821484178333,17.2494402414606,21.7868152683815,4100434.0,,7.868,0.1233,1.4526,0.0851174240746249
AFG,1996,,,,,65.4404006742238,64.4595250679089,,43.116,16.6762632046218,13.3013608410461,17.8833361211544,22.239114091045,4239207.0,,7.878,0.1167,1.4056,0.0791295924972356
AFG,1997,,,,,65.0468853597701,64.0907887150485,,43.058,16.4131910460013,13.2142911214488,18.5399235942285,22.6949201635027,4372875.0,,7.863,0.1188,1.3735,0.0744360083634966
AFG,1998,,,,,64.9417696085727,63.8740277407386,,42.995,16.0504105273602,13.0996140326893,19.0078198640671,23.02633415777,4509602.0,,7.869,0.1204,1.4093,0.0735542951052808
AFG,1999,,,,,64.8367180510842,63.6659156329744,,42.938,15.6713851883859,12.9839529264061,19.49189676053,23.3501314406195,4651589.0,,7.877,0.1222,1.3633,0.068549614750964
AFG,2000,,,,,64.7210629431284,63.4507735991192,,42.885,15.2881298474027,12.8762357304282,19.9908072094689,23.6729906704526,4684205.0,,7.897,0.1257,1.0093,0.0501382814099344
AFG,2001,,,,,66.9961789455607,64.5231688846425,,42.817,14.4223338485317,12.6383842491558,18.5814872059076,22.8384237602807,4702818.0,,7.973,0.1176,0.9402,0.0463511028500998
AFG,2002,,38.6278918638443,23.8101270064854,36.1511545995992,63.5049401368218,62.5857963668961,,42.846,15.2467730576247,12.9610790273256,21.2482868055535,24.4531246057782,4947295.0,,7.867,0.1247,0.9388,0.0439140640871224
AFG,2003,,37.4188554431481,22.7108641828326,37.4448038407261,62.8394275711376,62.0428297332425,,42.85,15.6482865499569,13.1753213261538,21.5122858789055,24.7818489406037,5259694.0,,7.844,0.1318,1.0172,0.0447454276810823
AFG,2004,,29.7210671376957,26.2267897500666,41.1108953364243,63.1514980177471,61.9816924719096,,42.881,15.4121645989852,13.1851590500524,21.4363373832677,24.833148478038,5459174.0,,7.794,0.1339,0.9024,0.038301143932592
AFG,2005,,31.114854912062,26.8120992326398,39.0077871841904,61.0247961513476,60.792008343779,,42.866,16.0486729417903,13.5002727037863,22.9264042731287,25.7077189524347,5672338.0,,7.878,0.1328,1.2763,0.052297588398106
AFG,2006,,28.6359685844686,28.2107680719994,39.8310243252872,60.4705012873518,60.3506274606547,,42.893,16.310975243973,13.7073220597731,23.2184034918068,25.9420504795722,5937185.0,,7.897,0.1296,1.4185,0.0557935319150409
AFG,2007,,30.1050113574013,26.8822416082148,40.294685221301,57.65427441099,58.7419077856844,,42.966,16.8663203157539,14.0332043377993,25.4795206466448,27.2248878765164,6089849.0,,7.841,0.133,2.0642,0.0796685368947688
AFG,2008,,24.8922700059742,26.9156280026285,45.4098308716488,56.7573584681072,58.0652913892583,61.688,43.004,17.0196468287995,14.2724927619635,26.2229947030933,27.6621985463541,6273854.0,2.494,7.879,0.1304,3.9029,0.14737589049906
AFG,2009,,29.2975010547259,21.8971222069406,45.2444349261482,53.2652723644898,54.884261967606,,43.097,20.9608485738212,15.7209119699527,25.7738790616891,29.3948425879471,6563683.0,,7.808,0.1404,6.1659,0.224491273806937
AFG,2010,,26.2100685374552,21.1514206977128,48.8793769096891,50.856581735692,51.8564248031154,,43.159,24.4189485582428,16.9843225135611,24.7244697060652,31.1592526833235,6823542.0,,7.809,0.1574,7.8684,0.278191742360873
AFG,2011,,23.7436639877543,22.7402524820273,49.6968203962567,51.8279022776025,51.3174929157298,,43.213,25.9915550804958,17.5647106902863,22.1806341559839,31.1177963939839,7149401.0,,7.83,0.1639,11.5231,0.392640542832169
AFG,2012,,24.390873626371,21.1578071539751,50.5793979236606,49.2852172677609,48.7641675804324,46.162,43.258,29.7126747158714,18.922538408842,21.0020224290203,32.3133084481045,7518518.0,1.692,7.875,0.2455,9.8844,0.323442048526517
AFG,2013,,22.8106627361766,20.4446053132561,52.6827434733525,48.2160966738469,46.577795862337,,43.301,32.4147340335488,21.3458275277614,19.3692469447753,32.0763627884824,7857574.0,,7.921,0.3182,8.4287,0.266539509081829
AFG,2014,,22.1370413719574,21.2296632181805,52.9908650351499,46.5766389074044,43.9051695778457,47.631,43.368,34.8660692940935,23.8556617856929,18.5572917985021,32.2391686364613,8229616.0,7.915,7.915,0.2691,7.9588,0.242701667084292
AFG,2015,,20.6343227166798,22.1240424906926,53.2352934986503,46.9227364517276,43.6487408597973,,42.906,33.0590780785797,22.6191439151609,20.0181854696927,33.7321152250418,8575264.0,,9.032,0.2199,8.4272,0.24909135686806
AFG,2016,,25.7403140364582,10.4668076938201,59.0232164144095,47.4766914565572,43.4117237317358,,42.457,31.2392526754943,21.3484268966527,21.2840558679485,35.23983684805,8883595.0,,10.116,0.2395,7.6117,0.219353479990497
AFG,2017,,26.4201990834448,10.0518739969063,58.3290500097748,47.7119564058148,43.0029679081655,42.015,42.014,29.5528766975653,20.1948976002105,22.7351668966199,36.802134491624,9223903.0,11.184,11.184,0.2402,10.3972,0.2913283907183
AFG,2018,,22.0428967527575,13.3872469597976,59.4774229106653,49.4848934275388,43.6069134634231,,40.466,27.8673387594934,19.3764202039082,22.6477678129679,37.0166785521044,9215046.0,,11.192,0.2534,11.8099,0.321418704642259
AFG,2019,-1.311031179,25.7739707394105,14.0581123697768,55.4728067408306,51.2834767430896,43.8771686940085,,38.913,26.3786227116432,18.6092921833009,22.3379005452673,37.5135391226906,9192643.0,,11.187,0.2565,12.1046,0.319752781855278
AFG,2020,-1.2509422,29.9755825210461,12.9525996015547,52.5721090890613,53.7939670942137,45.9834093852142,36.71,36.71,26.4645000481392,18.4813133384578,19.7415328576472,35.535277276328,9060510.0,11.71,11.71,0.1112,12.1436,0.310824605884889
AFG,2021,-1.100493221,33.5976188725451,14.2736570191788,47.160422387969,74.4806014482023,50.2317691205323,46.906,35.8,19.8008465195789,19.6166325981684,5.71847872778693,30.151585831638,9128262.0,5.679,12.006,0.0977,12.4864,0.312156784785117
AFG,2022,-1.021851004,33.7014323213923,16.0503677223963,45.0499087998591,74.3920902494415,51.5362775484024,,32.333,21.5401765107734,19.0365082146219,4.06750244640978,29.4272142369757,8617545.0,,14.1,0.0923,11.298,0.278420956418618
AFG,2023,,34.7432471445174,13.4498227120978,46.3743698691993,73.4229189996267,51.2913264558988,,32.323,22.6156586030572,19.2101817019298,3.96142239731603,29.4984918421715,8846502.0,,14.008,0.0931,11.6486,0.280995468771367
AGO,1990,,,,,,,,,,,,,4924638.0,,,0.1561,11.2308,0.965977313621804
AGO,1991,,,,,31.9202491138172,29.1149535475472,,64.307,2.1914116143073,7.51128469140186,65.8883876773273,63.3737380910113,5078829.0,,16.816,0.1601,11.7805,0.979787215550443
AGO,1992,,,,,32.6779676640911,29.6941526593325,,64.226,2.17355212927215,7.4685434573405,65.1484802066368,62.8373268892273,5234382.0,,16.959,0.1844,12.119,0.975473352891632
AGO,1993,,,,,33.2430541055863,30.290948416266,,63.88,2.16394811774235,7.39762530883251,64.5929977766713,62.3114262749015,5391763.0,,17.44,0.1341,12.1418,0.946571467439923
AGO,1994,,,,,33.8839420216694,30.8580867076576,,63.899,2.16769953936218,7.48484417235353,63.9483140015944,61.6570691199889,5558037.0,,17.444,0.1558,11.4905,0.867222993556716
AGO,1995,-2.251381016,,,,33.6928507826693,30.6251093571082,,64.271,2.23696106564031,7.63070298630398,64.0701881516903,61.7442086363688,5741253.0,,16.978,0.1559,12.9537,0.945540869348394
