Product,Name,Type_HS2,Group_Section,in_baseline,in_extended,status,RCA_2022,PCI_2032,Effort,RelativeRelatedness,Added_vol_baseline,Added_vol_extended
8302,Metal Mountings,Miscellaneous metal products,Metals,True,False,baseline only,0.947,0.68,0.164,1.107,640098508.0459646,0.0
8485,Boat Propellers,"Machinery, mechanical appliances, & parts",Machines,True,True,both,0.98,1.393,0.113,1.228,156954929.60254636,291025576.79587877
4911,Other Printed Material,"Books, newspapers, & other prints",Paper Goods,True,True,both,0.936,0.764,0.182,1.04,177431724.22729373,315188190.8826789
7009,Glass Mirrors,Glass & glassware,Stone And Glass,True,True,both,0.939,0.883,0.204,0.538,132244083.3560555,232772152.85203806
8547,Metal Insulating Fittings,Electrical machinery and electronics,Machines,True,True,both,0.912,1.182,0.21,1.143,120871448.49275893,211311764.60070124
6815,Other Stone Articles,"Stone, plaster, cement, asbestos, mica.",Stone And Glass,True,True,both,0.905,0.957,0.216,1.199,151499708.6328063,263856132.79553056
3926,Other Plastic Products,Plastics & articles thereof,Plastics and Rubbers,True,True,both,0.876,1.025,0.236,1.588,1984094289.692614,3411790035.211364
203,Pig Meat,Meat & edible offal,Animal Products,True,True,both,0.941,0.787,0.239,-0.207,681659457.9272074,1183153160.4818838
9001,Optical Fibers and optical fibre bundles,"Optical, photo, & film equipment; medical instruments",Instruments,True,True,both,0.905,1.02,0.244,0.657,571238160.1159039,984024476.8376516
8507,Electric Batteries,Electrical machinery and electronics,Machines,True,True,both,0.891,1.022,0.266,0.595,1742059049.3819194,2969733527.5415697
5602,Felt,"Wadding, felt, nonwovens, twin, ropes, & articles thereof",Textiles,True,True,both,0.895,0.738,0.271,0.396,25846938.942591537,44017867.547374435
8484,Gaskets,"Machinery, mechanical appliances, & parts",Machines,True,True,both,0.905,1.376,0.278,-0.005,83854673.99121863,142685632.23936215
8707,Vehicle Bodies (including cabs) for the motor vehicles (8701 to 8705),"Cars, tractors, trucks & parts thereof.",Transportation,True,True,both,0.86,0.91,0.28,1.159,170977299.33117312,288613960.83611727
7609,Aluminium Pipe Fittings,Aluminum articles,Metals,True,True,both,0.876,0.8,0.301,0.316,20576750.75161979,34578885.21681874
3801,Artificial Graphite,Chemical products n.e.s.,Chemical Products,True,True,both,0.928,0.895,0.308,-1.156,66542320.17575585,112485984.54184793
3005,Bandages,Pharmaceutical products,Chemical Products,True,True,both,0.868,1.121,0.312,0.335,187255664.30324504,313206003.1404299
9612,Ink Ribbons,Misc. manufactures,Miscellaneous,True,True,both,0.898,1.237,0.331,-0.82,35450938.07819031,59229194.33761669
8607,Locomotive Parts,Railway and trams,Transportation,True,True,both,0.807,0.931,0.35,1.205,274985575.2623667,450399353.6908193
8423,Scales,"Machinery, mechanical appliances, & parts",Machines,True,True,both,0.891,0.993,0.372,-1.411,108976622.56541409,179762987.0002652
2915,Saturated Acyclic Monocarboxylic Acids,Organic chemicals,Chemical Products,True,True,both,0.859,0.945,0.404,-1.176,381311847.513492,620808157.7093682
7211,Large Flat-Rolled Iron,Iron & steel,Metals,True,True,both,0.768,0.77,0.406,1.179,114816751.74936534,184198370.94924006
3810,Metal Pickling Preparations,Chemical products n.e.s.,Chemical Products,True,True,both,0.801,1.565,0.415,0.133,40540633.445315726,65242997.19881926
4006,Unvulcanised Rubber Products,Rubber & articles thereof,Plastics and Rubbers,True,True,both,0.795,1.111,0.424,0.118,11490220.968562854,18434506.421178725
8483,Transmissions,"Machinery, mechanical appliances, & parts",Machines,True,True,both,0.753,1.383,0.446,0.815,1480051699.0060925,2347548750.7170444
8411,Gas Turbines,"Machinery, mechanical appliances, & parts",Machines,True,True,both,0.764,1.049,0.493,-0.354,3708140130.2363048,5837618951.917028
8523,Blank Audio Media,Electrical machinery and electronics,Machines,True,True,both,0.777,1.692,0.498,-0.798,1192399615.3239887,1879040870.5910144
8433,Harvesting Machinery,"Machinery, mechanical appliances, & parts",Machines,True,True,both,0.691,1.012,0.521,1.063,647457700.0695082,1002369695.1568903
8515,Electric Soldering Equipment,Electrical machinery and electronics,Machines,True,True,both,0.703,2.012,0.574,-0.257,337351670.6410396,518795484.2170673
8467,Motor-working Tools,"Machinery, mechanical appliances, & parts",Machines,True,True,both,0.682,1.209,0.608,-0.323,247261700.63400412,377234313.0063046
9027,Chemical Analysis Instruments,"Optical, photo, & film equipment; medical instruments",Instruments,True,True,both,0.635,1.871,0.66,-0.031,1563305260.2408774,2351787342.3611746
8603,Self-Propelled Rail Transport,Railway and trams,Transportation,True,True,both,0.617,1.6,0.726,-0.735,189979525.15903196,282946213.6162101
2916,Unsaturated Acyclic Monocarboxylic Acids,Organic chemicals,Chemical Products,True,True,both,0.624,1.2,0.73,-0.992,365708398.698128,545019607.9427375
8521,Video Recording Equipment,Electrical machinery and electronics,Machines,True,True,both,0.579,0.977,0.737,0.068,1374032041.7011487,2032970636.2579184
8473,Office Machine Parts,"Machinery, mechanical appliances, & parts",Machines,True,True,both,0.602,0.972,0.741,-0.598,8314103537.949214,12337235031.310429
8428,Lifting Machinery,"Machinery, mechanical appliances, & parts",Machines,True,True,both,0.539,1.296,0.743,1.024,1025395059.4375153,1507211582.468321
7412,Copper Pipe Fittings,Copper articles,Metals,True,True,both,0.573,1.178,0.764,-0.268,184424091.89666548,271907529.7763812
8416,Liquid Fuel Furnaces,"Machinery, mechanical appliances, & parts",Machines,True,True,both,0.554,1.341,0.764,0.244,79187801.07864739,116433924.30032371
2912,"Aldehydes, cyclic polymers, and paraformaldehyde",Organic chemicals,Chemical Products,True,True,both,0.586,1.35,0.781,-0.901,91446260.80495675,134874310.79773518
9033,Opto-Electric Instrument Parts,"Optical, photo, & film equipment; medical instruments",Instruments,True,True,both,0.507,1.08,0.782,1.186,97025034.69229698,141452423.50581047
8205,Other Hand Tools,Tools & cutlery,Metals,True,True,both,0.57,1.649,0.797,-0.775,257530430.37224618,378410426.7156592
7307,Iron Pipe Fittings,Iron/Steel Articles,Metals,True,True,both,0.502,1.241,0.812,0.762,657343719.7450786,955352486.1405526
9031,Other Measuring Instruments,"Optical, photo, & film equipment; medical instruments",Instruments,True,True,both,0.531,1.565,0.833,-0.382,1682216280.2946165,2451059094.520839
9022,X-Ray Equipment,"Optical, photo, & film equipment; medical instruments",Instruments,True,True,both,0.543,1.649,0.845,-0.907,882202682.5876216,1286445819.2397544
8479,Machinery Having Individual Functions,"Machinery, mechanical appliances, & parts",Machines,True,True,both,0.521,1.871,0.859,-0.562,5003879519.998168,7265843973.651548
4806,Vegetable Parchment,Paper articles,Paper Goods,True,True,both,0.51,1.401,0.864,-0.367,75065178.43093537,108795049.27465472
9013,LCDs,"Optical, photo, & film equipment; medical instruments",Instruments,True,True,both,0.54,1.384,0.869,-1.235,1493567788.497494,2172927490.7275653
8480,Metal Molds,"Machinery, mechanical appliances, & parts",Machines,True,True,both,0.486,1.476,0.887,-0.121,668164806.3816204,963582254.8242033
7415,Copper Fasteners,Copper articles,Metals,True,True,both,0.539,1.241,0.89,-1.577,45052077.878023714,65435334.03749503
6804,Milling Stones,"Stone, plaster, cement, asbestos, mica.",Stone And Glass,True,True,both,0.43,1.306,0.932,0.567,192562671.18097505,274812737.8941163
5903,Plastic Coated Textile Fabric,"Coated, covered, & laminated fabrics for industrial use",Textiles,True,True,both,0.423,1.525,0.993,-0.29,470234949.66997933,668172676.0650885
9030,Oscilloscopes,"Optical, photo, & film equipment; medical instruments",Instruments,True,True,both,0.407,1.717,1.014,-0.226,1041153087.6722498,1474807739.0343945
8427,Fork-Lifts,"Machinery, mechanical appliances, & parts",Machines,True,True,both,0.409,1.653,1.028,-0.525,846179132.1510231,1198141739.1896787
9017,Drafting Tools,"Optical, photo, & film equipment; medical instruments",Instruments,True,True,both,0.406,1.903,1.03,-0.478,97200564.11548108,137565847.31952304
3919,Self-adhesive Plastics,Plastics & articles thereof,Plastics and Rubbers,True,True,both,0.392,1.346,1.036,-0.201,923283884.9193231,1303911817.5230148
7416,Copper Springs,Copper articles,Metals,True,True,both,0.398,1.37,1.041,-0.459,37792611.45568593,53409169.49384703
8208,Cutting Blades,Tools & cutlery,Metals,True,True,both,0.35,1.614,1.067,0.397,133701893.96861671,187547586.94403523
2914,Ketones and Quinones,Organic chemicals,Chemical Products,True,True,both,0.372,1.286,1.095,-0.685,286372765.35757667,402430761.8897666
8209,Tool Plates,Tools & cutlery,Metals,True,True,both,0.376,1.992,1.107,-0.992,249088074.0343486,350036623.8375844
8443,Industrial Printers,"Machinery, mechanical appliances, & parts",Machines,True,True,both,0.341,1.508,1.138,-0.57,2234521345.739104,3122771908.3009443
8514,Electric Furnaces,Electrical machinery and electronics,Machines,True,True,both,0.325,1.292,1.14,-0.18,235262882.96219373,328098635.102199
8204,Wrenches,Tools & cutlery,Metals,True,True,both,0.336,1.378,1.141,-0.482,113009263.50855105,157806155.5305802
8207,Interchangeable Tool Parts,Tools & cutlery,Metals,True,True,both,0.322,1.757,1.148,-0.21,970721449.0662272,1352765785.423454
7315,Iron Chains,Iron/Steel Articles,Metals,True,True,both,0.31,1.56,1.154,-0.0,242667401.52261192,337590321.55281085
2920,Other Esters,Organic chemicals,Chemical Products,True,True,both,0.365,1.658,1.176,-1.829,81055096.00131825,113460435.05736412
8101,Tungsten,Cermet articles,Metals,True,True,both,0.311,1.588,1.183,-0.526,51887083.5192887,72137656.98768441
7318,Iron Fasteners,Iron/Steel Articles,Metals,True,True,both,0.239,1.642,1.271,-0.033,1848780198.701853,2541986975.5182376
8461,Metalworking Machines,"Machinery, mechanical appliances, & parts",Machines,True,True,both,0.263,1.827,1.286,-0.927,102745532.24206881,141636224.39315933
8466,Metalworking Machine Parts,"Machinery, mechanical appliances, & parts",Machines,True,True,both,0.196,1.658,1.293,0.816,824136931.0861903,1126656875.7812817
2851,Inorganic Compounds,Inorganic chemicals,Chemical Products,True,True,both,0.246,1.505,1.339,-1.343,61847159.59845598,84993554.24835128
7223,Stainless Steel Wire,Iron & steel,Metals,True,True,both,0.216,1.462,1.34,-0.529,120577107.39659558,165109969.2869229
2928,Hydrazine or Hydroxylamine Derivatives,Organic chemicals,Chemical Products,True,True,both,0.266,1.36,1.352,-2.064,77871366.7031443,107226391.47274177
8202,Hand Saws,Tools & cutlery,Metals,True,True,both,0.218,1.745,1.363,-0.939,244275769.94105613,334424421.27203625
8456,Non-Mechanical Removal Machinery,"Machinery, mechanical appliances, & parts",Machines,True,True,both,0.204,1.726,1.382,-0.889,323484852.9144749,442061324.61719805
8113,Cermets,Cermet articles,Metals,True,True,both,0.209,1.624,1.389,-1.136,54433319.44655897,74417286.51822597
2934,Nucleic Acids,Organic chemicals,Chemical Products,True,True,both,0.215,1.388,1.423,-1.839,1309887702.8323696,1791032849.2550128
8462,Forging Machines,"Machinery, mechanical appliances, & parts",Machines,True,True,both,0.14,1.441,1.464,-0.44,480138951.46699935,650683810.8172493
7226,Flat-Rolled Iron,Iron & steel,Metals,True,True,both,0.107,1.586,1.468,0.424,204711174.64616963,276362567.7235289
3702,Photographic Film,Photo & movie goods,Chemical Products,True,True,both,0.17,1.724,1.475,-1.43,77224700.83463301,104989764.53690153
3707,Photographic Chemicals,Photo & movie goods,Chemical Products,True,True,both,0.106,1.879,1.534,-0.605,295948593.20849836,399311402.43966657
8477,Rubberworking Machinery,"Machinery, mechanical appliances, & parts",Machines,True,True,both,0.092,1.67,1.544,-0.367,1468899376.1909733,1978706365.9839568
8420,Rolling Machines,"Machinery, mechanical appliances, & parts",Machines,True,True,both,0.115,1.863,1.555,-1.186,75210283.80387115,101562277.62182267
9024,Tensile Testing Machines,"Optical, photo, & film equipment; medical instruments",Instruments,True,True,both,0.088,1.576,1.58,-0.819,130576079.34857577,175786545.93999165
3403,Lubricating Products,"Soap, cleaners, candles, dental, modelling pastes",Chemical Products,True,True,both,0.081,1.661,1.628,-1.357,568540977.84927,764597389.0530688
9010,Photo Lab Equipment,"Optical, photo, & film equipment; medical instruments",Instruments,True,True,both,0.083,2.072,1.632,-1.474,1724640322.7044313,2319764629.7873597
3701,Photographic Plates,Photo & movie goods,Chemical Products,True,True,both,0.082,1.58,1.633,-1.481,239343715.74777222,321926162.26873904
8458,Metal Lathes,"Machinery, mechanical appliances, & parts",Machines,True,True,both,0.04,1.543,1.655,-0.636,348224785.9777783,466270624.5675527
3910,Silicone,Plastics & articles thereof,Plastics and Rubbers,True,True,both,0.053,1.771,1.67,-1.236,483221143.3050428,647875476.0386147
2910,Epoxides,Organic chemicals,Chemical Products,True,True,both,0.048,1.607,1.686,-1.326,229878401.57274806,308027363.7979442
3822,Laboratory Reagents,Chemical products n.e.s.,Chemical Products,True,True,both,0.031,1.682,1.694,-0.971,1715036967.2951126,2293966151.4505863
8457,Metalworking Transfer Machines,"Machinery, mechanical appliances, & parts",Machines,True,True,both,0.027,1.922,1.72,-1.246,489549321.79973716,654517974.7076069
3914,Polymer Ion-Exchangers,Plastics & articles thereof,Plastics and Rubbers,True,True,both,0.026,1.758,1.723,-1.261,123378150.76846914,164934120.77178094
9012,Non-optical Microscopes,"Optical, photo, & film equipment; medical instruments",Instruments,True,True,both,0.006,2.035,1.723,-0.703,182929830.97456375,244047606.97506687
2919,Phosphoric Esters and Salts,Organic chemicals,Chemical Products,True,True,both,0.023,1.74,1.735,-1.373,70833363.93549322,94665205.64867371
3705,Developed Exposed Photographic Material,Photo & movie goods,Chemical Products,True,True,both,0.015,2.344,1.739,-1.204,78167900.07403971,104380773.7981364
9016,Balances,"Optical, photo, & film equipment; medical instruments",Instruments,True,True,both,0.011,1.596,1.739,-1.078,23581004.3638586,31474907.63901911
4904,Sheet Music,"Books, newspapers, & other prints",Paper Goods,True,True,both,0.003,1.638,1.747,-0.984,5287848.618991265,7052425.016830186
7506,Nickel Sheets,Nickel articles,Metals,True,True,both,0.009,1.7,1.763,-1.377,96486427.49788101,128756693.84175824
9108,Watch Movements,"Clocks, watches, & parts",Instruments,True,True,both,0.016,1.756,1.773,-1.722,59935814.66646724,80036046.69246894
8444,Artificial Textile Machinery,"Machinery, mechanical appliances, & parts",Machines,True,True,both,0.006,1.954,1.789,-1.677,68548220.58011076,91444657.5903605
3818,Disc Chemicals for Electronics,Chemical products n.e.s.,Chemical Products,True,True,both,0.001,1.771,1.79,-1.58,790272792.0308684,1053783009.9238253
3207,Prepared Pigments,"Paints, dyes, & varnishes",Chemical Products,False,True,extended only,0.765,0.799,0.522,-0.909,0.0,190968620.70380604
8476,Vending Machines,"Machinery, mechanical appliances, & parts",Machines,False,True,extended only,0.646,0.772,0.571,1.325,0.0,67737803.97270668
4812,Paper Pulp Filter Blocks,Paper articles,Paper Goods,False,True,extended only,0.65,0.903,0.621,0.305,0.0,9660360.75503435
8412,Other Engines,"Machinery, mechanical appliances, & parts",Machines,False,True,extended only,0.545,0.837,0.724,1.201,0.0,1146229270.551404
8425,Pulley Systems,"Machinery, mechanical appliances, & parts",Machines,False,True,extended only,0.57,0.966,0.751,0.036,0.0,359210887.23449576
7229,Steel Wire,Iron & steel,Metals,False,True,extended only,0.565,0.833,0.761,0.015,0.0,136322398.77814984
3407,Pastes and Waxes,"Soap, cleaners, candles, dental, modelling pastes",Chemical Products,False,True,extended only,0.571,0.886,0.788,-0.635,0.0,59396007.25869658
8803,"Aircraft parts (gliders, balloons, and powered aircraft)",Aircraft and Spacecraft,Transportation,False,True,extended only,0.55,0.887,0.793,-0.16,0.0,3569532092.0284934
