Product,Name,Type_HS2,Group_Section,in_baseline,in_extended,status,RCA_2022,PCI_2032,Effort,RelativeRelatedness,Added_vol_baseline,Added_vol_extended
2927,"Diazo, Azo or Aoxy Compounds",Organic chemicals,Chemical Products,True,True,both,0.99,0.941,0.021,2.052,3531754.3531512893,10223728.365486847
8501,Electric Motors,Electrical machinery and electronics,Machines,True,True,both,0.987,0.947,0.085,0.805,431164335.02056336,1158955658.0207896
8532,Electrical Capacitors,Electrical machinery and electronics,Machines,True,True,both,0.859,1.033,0.128,3.492,222982126.44262335,557763550.0261563
8703,Cars,"Cars, tractors, trucks & parts thereof.",Transportation,True,True,both,0.964,0.942,0.135,0.402,5742570020.363668,14656407187.3143
6905,Roofing Tiles,Ceramic products,Stone And Glass,True,True,both,0.947,0.744,0.165,0.25,6588162.038357066,16350626.821311867
2922,Oxygen Amino Compounds,Organic chemicals,Chemical Products,True,True,both,0.959,0.713,0.169,-0.156,151129792.84682798,375191368.02848226
7320,Iron Springs,Iron/Steel Articles,Metals,True,True,both,0.935,1.111,0.171,0.465,62008754.45803895,152849112.6257892
7319,Iron Sewing Needles,Iron/Steel Articles,Metals,True,True,both,0.852,1.009,0.214,1.889,2771292.7781634615,6491315.244234415
8505,Electromagnets,Electrical machinery and electronics,Machines,True,True,both,0.871,0.963,0.216,1.291,94074440.33071128,221146271.53001022
8525,Broadcasting Equipment,Electrical machinery and electronics,Machines,True,True,both,0.883,0.745,0.225,0.811,4190229474.7281275,9826809127.415705
7315,Iron Chains,Iron/Steel Articles,Metals,True,True,both,0.94,1.56,0.229,-0.829,51874462.83251571,123030209.53223917
5906,Rubber Textile Fabric,"Coated, covered, & laminated fabrics for industrial use",Textiles,True,True,both,0.908,0.907,0.23,0.023,14643067.527492603,34443319.16100428
7105,Precious Stone Dust,"Precious stones, metals, & pearls",Precious Metals,True,True,both,0.9,1.494,0.246,-0.09,4190501.344239336,9742498.289223881
8305,Metal Office Supplies,Miscellaneous metal products,Metals,True,True,both,0.892,0.776,0.247,0.117,9179685.723632332,21296341.605341867
8518,Microphones and Headphones,Electrical machinery and electronics,Machines,True,True,both,0.842,0.807,0.253,1.374,446923859.5441213,1020216608.7198453
8472,Other Office Machines,"Machinery, mechanical appliances, & parts",Machines,True,True,both,0.862,1.094,0.268,0.504,47021664.936102666,107000936.56144434
8517,Telephones,Electrical machinery and electronics,Machines,True,True,both,0.781,0.812,0.277,2.593,1193697715.029328,2647048737.993092
7412,Copper Pipe Fittings,Copper articles,Metals,True,True,both,0.905,1.178,0.286,-1.0,56670010.14915241,129075130.37529373
8523,Blank Audio Media,Electrical machinery and electronics,Machines,True,True,both,0.772,1.692,0.292,2.534,449077859.26847893,985499725.6064368
8535,High-voltage Protection Equipment,Electrical machinery and electronics,Machines,True,True,both,0.835,0.77,0.295,0.716,87857271.24979831,195763398.6664214
8546,Electrical Insulators,Electrical machinery and electronics,Machines,True,True,both,0.833,0.996,0.295,0.757,24476476.976345148,54512076.56930522
7613,Aluminium Gas Containers,Aluminum articles,Metals,True,True,both,0.884,1.058,0.329,-1.281,6867180.879905912,15239908.635484137
4006,Unvulcanised Rubber Products,Rubber & articles thereof,Plastics and Rubbers,True,True,both,0.847,1.111,0.342,-0.539,5256549.78522,11496762.566620229
7009,Glass Mirrors,Glass & glassware,Stone And Glass,True,True,both,0.847,0.883,0.342,-0.536,80735915.35275486,176484586.12107566
7229,Steel Wire,Iron & steel,Metals,True,True,both,0.819,0.833,0.346,0.138,30684981.85082745,66501877.075123794
8207,Interchangeable Tool Parts,Tools & cutlery,Metals,True,True,both,0.828,1.757,0.347,-0.134,244749634.48262298,531541811.7523268
8413,Liquid Pumps,"Machinery, mechanical appliances, & parts",Machines,True,True,both,0.815,1.543,0.373,-0.294,777910347.7329041,1665966194.2772927
8451,Textile Processing Machines,"Machinery, mechanical appliances, & parts",Machines,True,True,both,0.814,1.169,0.378,-0.34,107475777.35629003,229698766.94861677
8404,Boiler Plants,"Machinery, mechanical appliances, & parts",Machines,True,True,both,0.788,1.037,0.391,0.101,18387032.79936615,38846089.109939836
3906,Acrylic Polymers,Plastics & articles thereof,Plastics and Rubbers,True,True,both,0.771,1.209,0.399,0.409,208998390.0122104,438243611.8180859
3810,Metal Pickling Preparations,Chemical products n.e.s.,Chemical Products,True,True,both,0.752,1.565,0.42,0.515,20495212.779855497,42463337.44328069
6805,Abrasive Powder,"Stone, plaster, cement, asbestos, mica.",Stone And Glass,True,True,both,0.737,1.241,0.443,0.473,59563185.262558065,121984003.35301109
3926,Other Plastic Products,Plastics & articles thereof,Plastics and Rubbers,True,True,both,0.748,1.025,0.453,0.005,1341641517.5616558,2746902174.7480593
8480,Metal Molds,"Machinery, mechanical appliances, & parts",Machines,True,True,both,0.715,1.476,0.488,0.206,238617464.39052057,479591013.12291986
3818,Disc Chemicals for Electronics,Chemical products n.e.s.,Chemical Products,True,True,both,0.675,1.771,0.503,1.019,168303727.93987173,333371466.1931016
8455,Metal-Rolling Mills,"Machinery, mechanical appliances, & parts",Machines,True,True,both,0.696,1.292,0.543,-0.317,69030845.65435593,136054166.0155962
8428,Lifting Machinery,"Machinery, mechanical appliances, & parts",Machines,True,True,both,0.675,1.296,0.56,-0.071,449218677.4425397,877278641.4748026
8481,Valves,"Machinery, mechanical appliances, & parts",Machines,True,True,both,0.614,1.466,0.646,-0.023,1466227628.3576279,2771645427.657378
9030,Oscilloscopes,"Optical, photo, & film equipment; medical instruments",Instruments,True,True,both,0.441,1.717,0.837,1.178,471468155.99166673,833427856.5113673
8515,Electric Soldering Equipment,Electrical machinery and electronics,Machines,True,True,both,0.399,2.012,0.989,-0.413,246967024.2398643,426763030.0699474
9105,Other Clocks,"Clocks, watches, & parts",Instruments,False,True,extended only,0.828,0.634,0.316,0.498,0.0,30826141.558385745
8506,Batteries,Electrical machinery and electronics,Machines,False,True,extended only,0.773,0.684,0.324,1.863,0.0,198238924.67927375
7907,Other Zinc Products,Zinc articles,Metals,False,True,extended only,0.832,0.639,0.352,-0.344,0.0,34023849.22147544
7616,Other Aluminium Products,Aluminum articles,Metals,False,True,extended only,0.792,0.598,0.359,0.636,0.0,466738723.67734265
