Code,Name,Type_HS2,Group_Section,Mcp,Added_vol,RCA_final,Relatedness_final,mar_ECI,PCI_future,RCA_start,Relatedness_start,Relative_relatedness_start,Effort_Ycp
1001,Wheat,Cereals,Vegetable Products,0.0,0.0,0.13990702027006546,0.2345042979458649,-0.0,-0.12398048436261216,0.08729593888616893,0.2016298992575683,1.2807254476613479,1.4502858788342308
1002,Rye,Cereals,Vegetable Products,0.0,0.0,0.05448828215839562,0.2601930944588105,0.0,0.5738275357240912,9.465473276580593e-07,0.18847278178713145,0.559507211621294,1.652778276582152
1003,Barley,Cereals,Vegetable Products,0.0,0.0,0.05864003880898706,0.21209241815349864,-0.0,-0.15589126349753082,0.0038002088238773594,0.18954392755421318,0.6182229495032636,1.6419930970474912
1004,Oats,Cereals,Vegetable Products,0.0,0.0,0.0571191497047273,0.2310640637563487,0.0,0.0285226354575395,0.0032889797385553163,0.1883467913419621,0.552600941549061,1.6471142120068696
1005,Corn,Cereals,Vegetable Products,0.0,0.0,0.17830855616370925,0.21208860145054045,-0.0,-1.1314089786506385,0.1402505645008835,0.19599635758759157,0.9719182187977253,1.3771936702512186
1006,Rice,Cereals,Vegetable Products,0.0,0.0,0.04224646201270378,0.1538140001710417,-0.0,-1.8708459296020301,0.00811007767324763,0.16754433095773813,-0.5877030663245553,1.7116601384250245
1007,Sorghum,Cereals,Vegetable Products,0.0,0.0,0.05687507595246497,0.18243065725086463,-0.0,-2.035602115912217,0.03536120912326445,0.1591755269799046,-1.0464459525395609,1.6909135478615722
1008,Buckwheat,Cereals,Vegetable Products,0.0,0.0,0.07002278097419531,0.2003471486014004,-0.0,-1.558906474359531,0.00907316430415968,0.1971183591410071,1.0334216585144245,1.6060319647659274
101,Horses,Live animals,Animal Products,0.0,0.0,0.06495639728061615,0.19704736679915186,-0.0,-0.12644259003203387,0.058361290722017276,0.1477678591967686,-1.6717666623660676,1.6895648187190941
102,Bovine,Live animals,Animal Products,1.0,0.0,2.1989631335639435,0.23261580295234097,0.001048118445729388,-1.0605053000880078,2.845183878081496,0.22787939658138676,0.29496678554520206,-1.805008008063718
103,Pigs,Live animals,Animal Products,0.0,0.0,0.05666754841324191,0.22693806550951223,0.0,0.4179159090834367,0.00021631417572159003,0.19066548048729406,0.679701797726642,1.6447319433549117
104,Sheep and Goats,Live animals,Animal Products,0.0,0.0,0.07295027143822896,0.19678977154539426,-0.0,-1.5462929103907586,0.0017366094153441064,0.20697667232253708,1.5738132191346854,1.5857487164341073
105,Poultry,Live animals,Animal Products,0.0,0.0,0.07214899726866851,0.23251533614637682,-0.0,-0.13889328608686616,2.346885689634732e-06,0.20770095279129158,1.6135152498604202,1.586466394651063
106,Other Animals,Live animals,Animal Products,0.0,0.0,0.187206938542265,0.19506968447611753,-0.0,-1.2707495117105247,0.14646009848186914,0.1996720245665901,1.1734029331221605,1.3544338263009958
1101,Wheat Flours,Products of the milling industry,Vegetable Products,0.0,0.0,0.18819028305960808,0.1900034206178568,-0.0,-1.399581097134205,0.14232616245470295,0.2039794626624036,1.4095187018150113,1.3473337090929678
1102,Cereal Flours,Products of the milling industry,Vegetable Products,1.0,0.0,3.3630262682427006,0.20822588100538456,0.0013468383344591582,-1.3627555147754933,4.684336036193871,0.21571497626326713,-0.8944755181799712,-3.6013765897613528
1103,Cereal Meal and Pellets,Products of the milling industry,Vegetable Products,0.0,0.0,0.7786433391940606,0.20165862624770559,-0.0,-1.151221775795257,0.8782068691439269,0.20248528545405325,1.3276141468880642,0.2456864004022028
1104,Processed Cereals,Products of the milling industry,Vegetable Products,0.0,0.0,0.12167400218485433,0.22690576924722494,-0.0,-0.6805419393874063,0.05501647167003734,0.21075748351628093,1.78106150023268,1.4768194321969599
1105,Potato Flours,Products of the milling industry,Vegetable Products,0.0,0.0,0.0682623897491177,0.25471276919088803,0.0,1.0595434272954312,0.0386896460124412,0.16863047151735017,-0.528165376533834,1.6510660581839227
1106,Legume Flours,Products of the milling industry,Vegetable Products,0.0,0.0,0.20559115246673015,0.19222841146689768,-0.0,-1.5684771172522203,0.17118271216330733,0.19766490511877857,1.0633810266578516,1.3190810605274024
1107,Malt,Products of the milling industry,Vegetable Products,0.0,0.0,0.06022394219758273,0.2377009552688267,0.0,0.14509207780462177,0.005369334757632709,0.18984180179180815,0.6345511712952129,1.6380505631977105
1108,Starches,Products of the milling industry,Vegetable Products,0.0,0.0,0.24161809366236905,0.20384185564981305,-0.0,-0.4989953450919806,0.23007166492106906,0.18611381455165074,0.4301984787417365,1.2585402873172011
1109,Wheat Gluten,Products of the milling industry,Vegetable Products,0.0,0.0,0.04413034064386529,0.24434781735654446,0.0,0.6678093937192603,0.0037795845259071406,0.17358502885314062,-0.25657723345408284,1.698207540236134
1201,Soybeans,"Oils seeds, oleaginous fruits, grains, straw & fodder",Vegetable Products,0.0,0.0,0.028647562155851115,0.1800616561153265,-0.0,-1.5809981094982897,0.0013932864475830458,0.15847227222878493,-1.084995441227259,1.7570138645565785
1202,Ground Nuts,"Oils seeds, oleaginous fruits, grains, straw & fodder",Vegetable Products,0.0,0.0,0.08068486154115746,0.1783098769677255,-0.0,-2.2504329071708047,0.04445675792100372,0.1769206556187611,-0.07373210363029899,1.611341130368026
1203,Copra,"Oils seeds, oleaginous fruits, grains, straw & fodder",Vegetable Products,0.0,0.0,0.03144269439323972,0.17647542863693438,-0.0,-1.009247728361107,0.0,0.1628908742635751,-0.8427861296166557,1.74364334787093
1204,Linseed,"Oils seeds, oleaginous fruits, grains, straw & fodder",Vegetable Products,0.0,0.0,0.03980190882871044,0.1888619349555268,-0.0,-0.6701221959698204,0.0055433910208591685,0.1671649523039888,-0.6084990198503277,1.7178306052025727
