Product,Name,Type_HS2,Group_Section,first_target_ECI,growth_at_target,RCA_2022,RelativeRelatedness,PCI_2032,Effort,Added_volume_USD
8485,Boat Propellers,"Machinery, mechanical appliances, & parts",Machines,0.971,2.772,0.98,1.228,1.393,0.113,156954929.60254636
8547,Metal Insulating Fittings,Electrical machinery and electronics,Machines,0.971,2.772,0.912,1.143,1.182,0.21,120871448.49275893
3926,Other Plastic Products,Plastics & articles thereof,Plastics and Rubbers,0.971,2.772,0.876,1.588,1.025,0.236,1984094289.692614
8507,Electric Batteries,Electrical machinery and electronics,Machines,0.971,2.772,0.891,0.595,1.022,0.266,1742059049.3819194
8484,Gaskets,"Machinery, mechanical appliances, & parts",Machines,0.971,2.772,0.905,-0.005,1.376,0.278,83854673.99121863
4911,Other Printed Material,"Books, newspapers, & other prints",Paper Goods,1.021,2.82,0.936,1.04,0.764,0.182,177431724.22729373
7009,Glass Mirrors,Glass & glassware,Stone And Glass,1.021,2.82,0.939,0.538,0.883,0.204,132244083.3560555
6815,Other Stone Articles,"Stone, plaster, cement, asbestos, mica.",Stone And Glass,1.021,2.82,0.905,1.199,0.957,0.216,151499708.6328063
9001,Optical Fibers and optical fibre bundles,"Optical, photo, & film equipment; medical instruments",Instruments,1.021,2.82,0.905,0.657,1.02,0.244,571238160.1159039
9612,Ink Ribbons,Misc. manufactures,Miscellaneous,1.021,2.82,0.898,-0.82,1.237,0.331,35450938.07819031
3810,Metal Pickling Preparations,Chemical products n.e.s.,Chemical Products,1.021,2.82,0.801,0.133,1.565,0.415,40540633.445315726
6810,Cement Articles,"Stone, plaster, cement, asbestos, mica.",Stone And Glass,1.071,2.869,0.973,1.236,0.48,0.123,0.0
8302,Metal Mountings,Miscellaneous metal products,Metals,1.071,2.869,0.947,1.107,0.68,0.164,640098508.0459646
203,Pig Meat,Meat & edible offal,Animal Products,1.071,2.869,0.941,-0.207,0.787,0.239,681659457.9272074
3005,Bandages,Pharmaceutical products,Chemical Products,1.071,2.869,0.868,0.335,1.121,0.312,187255664.30324504
8523,Blank Audio Media,Electrical machinery and electronics,Machines,1.071,2.869,0.777,-0.798,1.692,0.498,1192399615.3239887
8515,Electric Soldering Equipment,Electrical machinery and electronics,Machines,1.071,2.869,0.703,-0.257,2.012,0.574,337351670.6410396
8707,Vehicle Bodies (including cabs) for the motor vehicles (8701 to 8705),"Cars, tractors, trucks & parts thereof.",Transportation,1.121,2.917,0.86,1.159,0.91,0.28,170977299.33117312
3801,Artificial Graphite,Chemical products n.e.s.,Chemical Products,1.121,2.917,0.928,-1.156,0.895,0.308,66542320.17575585
8607,Locomotive Parts,Railway and trams,Transportation,1.121,2.917,0.807,1.205,0.931,0.35,274985575.2623667
