Product,Name,Type_HS2,Group_Section,first_target_ECI,growth_at_target,RCA_2022,RelativeRelatedness,PCI_2032,Effort,Added_volume_USD
8485,Boat Propellers,"Machinery, mechanical appliances, & parts",Machines,0.971,1.729,0.98,1.228,1.393,0.113,291025576.79587877
8547,Metal Insulating Fittings,Electrical machinery and electronics,Machines,0.971,1.729,0.912,1.143,1.182,0.21,211311764.60070124
3926,Other Plastic Products,Plastics & articles thereof,Plastics and Rubbers,0.971,1.729,0.876,1.588,1.025,0.236,3411790035.211364
8507,Electric Batteries,Electrical machinery and electronics,Machines,0.971,1.729,0.891,0.595,1.022,0.266,2969733527.5415697
8484,Gaskets,"Machinery, mechanical appliances, & parts",Machines,0.971,1.729,0.905,-0.005,1.376,0.278,142685632.23936215
4911,Other Printed Material,"Books, newspapers, & other prints",Paper Goods,1.021,1.781,0.936,1.04,0.764,0.182,315188190.8826789
7009,Glass Mirrors,Glass & glassware,Stone And Glass,1.021,1.781,0.939,0.538,0.883,0.204,232772152.85203806
6815,Other Stone Articles,"Stone, plaster, cement, asbestos, mica.",Stone And Glass,1.021,1.781,0.905,1.199,0.957,0.216,263856132.79553056
9001,Optical Fibers and optical fibre bundles,"Optical, photo, & film equipment; medical instruments",Instruments,1.021,1.781,0.905,0.657,1.02,0.244,984024476.8376516
9612,Ink Ribbons,Misc. manufactures,Miscellaneous,1.021,1.781,0.898,-0.82,1.237,0.331,59229194.33761669
3810,Metal Pickling Preparations,Chemical products n.e.s.,Chemical Products,1.021,1.781,0.801,0.133,1.565,0.415,65242997.19881926
6810,Cement Articles,"Stone, plaster, cement, asbestos, mica.",Stone And Glass,1.071,1.832,0.973,1.236,0.48,0.123,0.0
8302,Metal Mountings,Miscellaneous metal products,Metals,1.071,1.832,0.947,1.107,0.68,0.164,0.0
203,Pig Meat,Meat & edible offal,Animal Products,1.071,1.832,0.941,-0.207,0.787,0.239,1183153160.4818838
3005,Bandages,Pharmaceutical products,Chemical Products,1.071,1.832,0.868,0.335,1.121,0.312,313206003.1404299
8523,Blank Audio Media,Electrical machinery and electronics,Machines,1.071,1.832,0.777,-0.798,1.692,0.498,1879040870.5910144
8515,Electric Soldering Equipment,Electrical machinery and electronics,Machines,1.071,1.832,0.703,-0.257,2.012,0.574,518795484.2170673
8707,Vehicle Bodies (including cabs) for the motor vehicles (8701 to 8705),"Cars, tractors, trucks & parts thereof.",Transportation,1.121,1.884,0.86,1.159,0.91,0.28,288613960.83611727
3801,Artificial Graphite,Chemical products n.e.s.,Chemical Products,1.121,1.884,0.928,-1.156,0.895,0.308,112485984.54184793
8607,Locomotive Parts,Railway and trams,Transportation,1.121,1.884,0.807,1.205,0.931,0.35,450399353.6908193
4006,Unvulcanised Rubber Products,Rubber & articles thereof,Plastics and Rubbers,1.121,1.884,0.795,0.118,1.111,0.424,18434506.421178725
8483,Transmissions,"Machinery, mechanical appliances, & parts",Machines,1.121,1.884,0.753,0.815,1.383,0.446,2347548750.7170444
9027,Chemical Analysis Instruments,"Optical, photo, & film equipment; medical instruments",Instruments,1.121,1.884,0.635,-0.031,1.871,0.66,2351787342.3611746
5602,Felt,"Wadding, felt, nonwovens, twin, ropes, & articles thereof",Textiles,1.171,1.936,0.895,0.396,0.738,0.271,44017867.547374435
7609,Aluminium Pipe Fittings,Aluminum articles,Metals,1.171,1.936,0.876,0.316,0.8,0.301,34578885.21681874
3203,Vegetable or Animal Dyes,"Paints, dyes, & varnishes",Chemical Products,1.171,1.936,0.887,-0.29,0.656,0.318,0.0
8423,Scales,"Machinery, mechanical appliances, & parts",Machines,1.171,1.936,0.891,-1.411,0.993,0.372,179762987.0002652
2915,Saturated Acyclic Monocarboxylic Acids,Organic chemicals,Chemical Products,1.171,1.936,0.859,-1.176,0.945,0.404,620808157.7093682
8603,Self-Propelled Rail Transport,Railway and trams,Transportation,1.171,1.936,0.617,-0.735,1.6,0.726,282946213.6162101
8479,Machinery Having Individual Functions,"Machinery, mechanical appliances, & parts",Machines,1.171,1.936,0.521,-0.562,1.871,0.859,7265843973.651548
8411,Gas Turbines,"Machinery, mechanical appliances, & parts",Machines,1.221,1.988,0.764,-0.354,1.049,0.493,5837618951.917028
8205,Other Hand Tools,Tools & cutlery,Metals,1.221,1.988,0.57,-0.775,1.649,0.797,378410426.7156592
9022,X-Ray Equipment,"Optical, photo, & film equipment; medical instruments",Instruments,1.221,1.988,0.543,-0.907,1.649,0.845,1286445819.2397544
9017,Drafting Tools,"Optical, photo, & film equipment; medical instruments",Instruments,1.221,1.988,0.406,-0.478,1.903,1.03,137565847.31952304
8209,Tool Plates,Tools & cutlery,Metals,1.221,1.988,0.376,-0.992,1.992,1.107,350036623.8375844
8433,Harvesting Machinery,"Machinery, mechanical appliances, & parts",Machines,1.271,2.04,0.691,1.063,1.012,0.521,1002369695.1568903
8467,Motor-working Tools,"Machinery, mechanical appliances, & parts",Machines,1.271,2.04,0.682,-0.323,1.209,0.608,377234313.0063046
8416,Liquid Fuel Furnaces,"Machinery, mechanical appliances, & parts",Machines,1.271,2.04,0.554,0.244,1.341,0.764,116433924.30032371
2912,"Aldehydes, cyclic polymers, and paraformaldehyde",Organic chemicals,Chemical Products,1.271,2.04,0.586,-0.901,1.35,0.781,134874310.79773518
9031,Other Measuring Instruments,"Optical, photo, & film equipment; medical instruments",Instruments,1.271,2.04,0.531,-0.382,1.565,0.833,2451059094.520839
9030,Oscilloscopes,"Optical, photo, & film equipment; medical instruments",Instruments,1.271,2.04,0.407,-0.226,1.717,1.014,1474807739.0343945
7211,Large Flat-Rolled Iron,Iron & steel,Metals,1.321,2.091,0.768,1.179,0.77,0.406,184198370.94924006
2916,Unsaturated Acyclic Monocarboxylic Acids,Organic chemicals,Chemical Products,1.321,2.091,0.624,-0.992,1.2,0.73,545019607.9427375
8428,Lifting Machinery,"Machinery, mechanical appliances, & parts",Machines,1.321,2.091,0.539,1.024,1.296,0.743,1507211582.468321
8480,Metal Molds,"Machinery, mechanical appliances, & parts",Machines,1.321,2.091,0.486,-0.121,1.476,0.887,963582254.8242033
8427,Fork-Lifts,"Machinery, mechanical appliances, & parts",Machines,1.321,2.091,0.409,-0.525,1.653,1.028,1198141739.1896787
8207,Interchangeable Tool Parts,Tools & cutlery,Metals,1.321,2.091,0.322,-0.21,1.757,1.148,1352765785.423454
7412,Copper Pipe Fittings,Copper articles,Metals,1.371,2.143,0.573,-0.268,1.178,0.764,271907529.7763812
7307,Iron Pipe Fittings,Iron/Steel Articles,Metals,1.371,2.143,0.502,0.762,1.241,0.812,955352486.1405526
4806,Vegetable Parchment,Paper articles,Paper Goods,1.371,2.143,0.51,-0.367,1.401,0.864,108795049.27465472
9013,LCDs,"Optical, photo, & film equipment; medical instruments",Instruments,1.371,2.143,0.54,-1.235,1.384,0.869,2172927490.7275653
5903,Plastic Coated Textile Fabric,"Coated, covered, & laminated fabrics for industrial use",Textiles,1.371,2.143,0.423,-0.29,1.525,0.993,668172676.0650885
8208,Cutting Blades,Tools & cutlery,Metals,1.371,2.143,0.35,0.397,1.614,1.067,187547586.94403523
8461,Metalworking Machines,"Machinery, mechanical appliances, & parts",Machines,1.371,2.143,0.263,-0.927,1.827,1.286,141636224.39315933
7415,Copper Fasteners,Copper articles,Metals,1.421,2.195,0.539,-1.577,1.241,0.89,65435334.03749503
7315,Iron Chains,Iron/Steel Articles,Metals,1.421,2.195,0.31,-0.0,1.56,1.154,337590321.55281085
2920,Other Esters,Organic chemicals,Chemical Products,1.421,2.195,0.365,-1.829,1.658,1.176,113460435.05736412
8101,Tungsten,Cermet articles,Metals,1.421,2.195,0.311,-0.526,1.588,1.183,72137656.98768441
3705,Developed Exposed Photographic Material,Photo & movie goods,Chemical Products,1.421,2.195,0.015,-1.204,2.344,1.739,104380773.7981364
6804,Milling Stones,"Stone, plaster, cement, asbestos, mica.",Stone And Glass,1.471,2.247,0.43,0.567,1.306,0.932,274812737.8941163
8443,Industrial Printers,"Machinery, mechanical appliances, & parts",Machines,1.471,2.247,0.341,-0.57,1.508,1.138,3122771908.3009443
7318,Iron Fasteners,Iron/Steel Articles,Metals,1.471,2.247,0.239,-0.033,1.642,1.271,2541986975.5182376
8466,Metalworking Machine Parts,"Machinery, mechanical appliances, & parts",Machines,1.471,2.247,0.196,0.816,1.658,1.293,1126656875.7812817
8202,Hand Saws,Tools & cutlery,Metals,1.471,2.247,0.218,-0.939,1.745,1.363,334424421.27203625
