Product,Name,Type_HS2,Group_Section,first_target_ECI,growth_at_target,RCA_2022,RelativeRelatedness,PCI_2032,Effort,Added_volume_USD
2927,"Diazo, Azo or Aoxy Compounds",Organic chemicals,Chemical Products,0.983,3.323,0.99,2.052,0.941,0.021,3531754.3531512893
8501,Electric Motors,Electrical machinery and electronics,Machines,0.983,3.323,0.987,0.805,0.947,0.085,431164335.02056336
8532,Electrical Capacitors,Electrical machinery and electronics,Machines,0.983,3.323,0.859,3.492,1.033,0.128,222982126.44262335
8703,Cars,"Cars, tractors, trucks & parts thereof.",Transportation,0.983,3.323,0.964,0.402,0.942,0.135,5742570020.363668
7320,Iron Springs,Iron/Steel Articles,Metals,0.983,3.323,0.935,0.465,1.111,0.171,62008754.45803895
7315,Iron Chains,Iron/Steel Articles,Metals,0.983,3.323,0.94,-0.829,1.56,0.229,51874462.83251571
7105,Precious Stone Dust,"Precious stones, metals, & pearls",Precious Metals,0.983,3.323,0.9,-0.09,1.494,0.246,4190501.344239336
8523,Blank Audio Media,Electrical machinery and electronics,Machines,0.983,3.323,0.772,2.534,1.692,0.292,449077859.26847893
5404,Synthetic Monofilament,Man-made filaments,Textiles,1.033,3.375,0.998,1.337,0.236,0.043,0.0
6905,Roofing Tiles,Ceramic products,Stone And Glass,1.033,3.375,0.947,0.25,0.744,0.165,6588162.038357066
7319,Iron Sewing Needles,Iron/Steel Articles,Metals,1.033,3.375,0.852,1.889,1.009,0.214,2771292.7781634615
8505,Electromagnets,Electrical machinery and electronics,Machines,1.033,3.375,0.871,1.291,0.963,0.216,94074440.33071128
8472,Other Office Machines,"Machinery, mechanical appliances, & parts",Machines,1.033,3.375,0.862,0.504,1.094,0.268,47021664.936102666
7412,Copper Pipe Fittings,Copper articles,Metals,1.033,3.375,0.905,-1.0,1.178,0.286,56670010.14915241
8207,Interchangeable Tool Parts,Tools & cutlery,Metals,1.033,3.375,0.828,-0.134,1.757,0.347,244749634.48262298
8413,Liquid Pumps,"Machinery, mechanical appliances, & parts",Machines,1.033,3.375,0.815,-0.294,1.543,0.373,777910347.7329041
3810,Metal Pickling Preparations,Chemical products n.e.s.,Chemical Products,1.033,3.375,0.752,0.515,1.565,0.42,20495212.779855497
2922,Oxygen Amino Compounds,Organic chemicals,Chemical Products,1.083,3.427,0.959,-0.156,0.713,0.169,151129792.84682798
8525,Broadcasting Equipment,Electrical machinery and electronics,Machines,1.083,3.427,0.883,0.811,0.745,0.225,4190229474.7281275
5906,Rubber Textile Fabric,"Coated, covered, & laminated fabrics for industrial use",Textiles,1.083,3.427,0.908,0.023,0.907,0.23,14643067.527492603
8518,Microphones and Headphones,Electrical machinery and electronics,Machines,1.083,3.427,0.842,1.374,0.807,0.253,446923859.5441213
8546,Electrical Insulators,Electrical machinery and electronics,Machines,1.083,3.427,0.833,0.757,0.996,0.295,24476476.976345148
7613,Aluminium Gas Containers,Aluminum articles,Metals,1.083,3.427,0.884,-1.281,1.058,0.329,6867180.879905912
8451,Textile Processing Machines,"Machinery, mechanical appliances, & parts",Machines,1.083,3.427,0.814,-0.34,1.169,0.378,107475777.35629003
3906,Acrylic Polymers,Plastics & articles thereof,Plastics and Rubbers,1.083,3.427,0.771,0.409,1.209,0.399,208998390.0122104
8480,Metal Molds,"Machinery, mechanical appliances, & parts",Machines,1.083,3.427,0.715,0.206,1.476,0.488,238617464.39052057
3818,Disc Chemicals for Electronics,Chemical products n.e.s.,Chemical Products,1.083,3.427,0.675,1.019,1.771,0.503,168303727.93987173
8305,Metal Office Supplies,Miscellaneous metal products,Metals,1.133,3.479,0.892,0.117,0.776,0.247,9179685.723632332
8517,Telephones,Electrical machinery and electronics,Machines,1.133,3.479,0.781,2.593,0.812,0.277,1193697715.029328
8535,High-voltage Protection Equipment,Electrical machinery and electronics,Machines,1.133,3.479,0.835,0.716,0.77,0.295,87857271.24979831
4006,Unvulcanised Rubber Products,Rubber & articles thereof,Plastics and Rubbers,1.133,3.479,0.847,-0.539,1.111,0.342,5256549.78522
7009,Glass Mirrors,Glass & glassware,Stone And Glass,1.133,3.479,0.847,-0.536,0.883,0.342,80735915.35275486
8404,Boiler Plants,"Machinery, mechanical appliances, & parts",Machines,1.133,3.479,0.788,0.101,1.037,0.391,18387032.79936615
6805,Abrasive Powder,"Stone, plaster, cement, asbestos, mica.",Stone And Glass,1.133,3.479,0.737,0.473,1.241,0.443,59563185.262558065
3926,Other Plastic Products,Plastics & articles thereof,Plastics and Rubbers,1.133,3.479,0.748,0.005,1.025,0.453,1341641517.5616558
8455,Metal-Rolling Mills,"Machinery, mechanical appliances, & parts",Machines,1.133,3.479,0.696,-0.317,1.292,0.543,69030845.65435593
8428,Lifting Machinery,"Machinery, mechanical appliances, & parts",Machines,1.133,3.479,0.675,-0.071,1.296,0.56,449218677.4425397
8481,Valves,"Machinery, mechanical appliances, & parts",Machines,1.133,3.479,0.614,-0.023,1.466,0.646,1466227628.3576279
7229,Steel Wire,Iron & steel,Metals,1.153,3.5,0.819,0.138,0.833,0.346,30684981.85082745
9030,Oscilloscopes,"Optical, photo, & film equipment; medical instruments",Instruments,1.153,3.5,0.441,1.178,1.717,0.837,471468155.99166673
8515,Electric Soldering Equipment,Electrical machinery and electronics,Machines,1.153,3.5,0.399,-0.413,2.012,0.989,246967024.2398643
