Product,Name,Type_HS2,Group_Section,first_target_ECI,growth_at_target,RCA_2022,RelativeRelatedness,PCI_2032,Effort,Added_volume_USD
2927,"Diazo, Azo or Aoxy Compounds",Organic chemicals,Chemical Products,0.983,2.157,0.99,2.052,0.941,0.021,10223728.365486847
8501,Electric Motors,Electrical machinery and electronics,Machines,0.983,2.157,0.987,0.805,0.947,0.085,1158955658.0207896
8532,Electrical Capacitors,Electrical machinery and electronics,Machines,0.983,2.157,0.859,3.492,1.033,0.128,557763550.0261563
8703,Cars,"Cars, tractors, trucks & parts thereof.",Transportation,0.983,2.157,0.964,0.402,0.942,0.135,14656407187.3143
7320,Iron Springs,Iron/Steel Articles,Metals,0.983,2.157,0.935,0.465,1.111,0.171,152849112.6257892
7315,Iron Chains,Iron/Steel Articles,Metals,0.983,2.157,0.94,-0.829,1.56,0.229,123030209.53223917
7105,Precious Stone Dust,"Precious stones, metals, & pearls",Precious Metals,0.983,2.157,0.9,-0.09,1.494,0.246,9742498.289223881
8523,Blank Audio Media,Electrical machinery and electronics,Machines,0.983,2.157,0.772,2.534,1.692,0.292,985499725.6064368
5404,Synthetic Monofilament,Man-made filaments,Textiles,1.033,2.211,0.998,1.337,0.236,0.043,0.0
6905,Roofing Tiles,Ceramic products,Stone And Glass,1.033,2.211,0.947,0.25,0.744,0.165,16350626.821311867
7319,Iron Sewing Needles,Iron/Steel Articles,Metals,1.033,2.211,0.852,1.889,1.009,0.214,6491315.244234415
8505,Electromagnets,Electrical machinery and electronics,Machines,1.033,2.211,0.871,1.291,0.963,0.216,221146271.53001022
8472,Other Office Machines,"Machinery, mechanical appliances, & parts",Machines,1.033,2.211,0.862,0.504,1.094,0.268,107000936.56144434
7412,Copper Pipe Fittings,Copper articles,Metals,1.033,2.211,0.905,-1.0,1.178,0.286,129075130.37529373
8207,Interchangeable Tool Parts,Tools & cutlery,Metals,1.033,2.211,0.828,-0.134,1.757,0.347,531541811.7523268
8413,Liquid Pumps,"Machinery, mechanical appliances, & parts",Machines,1.033,2.211,0.815,-0.294,1.543,0.373,1665966194.2772927
3810,Metal Pickling Preparations,Chemical products n.e.s.,Chemical Products,1.033,2.211,0.752,0.515,1.565,0.42,42463337.44328069
2922,Oxygen Amino Compounds,Organic chemicals,Chemical Products,1.083,2.265,0.959,-0.156,0.713,0.169,375191368.02848226
8525,Broadcasting Equipment,Electrical machinery and electronics,Machines,1.083,2.265,0.883,0.811,0.745,0.225,9826809127.415705
5906,Rubber Textile Fabric,"Coated, covered, & laminated fabrics for industrial use",Textiles,1.083,2.265,0.908,0.023,0.907,0.23,34443319.16100428
8518,Microphones and Headphones,Electrical machinery and electronics,Machines,1.083,2.265,0.842,1.374,0.807,0.253,1020216608.7198453
8546,Electrical Insulators,Electrical machinery and electronics,Machines,1.083,2.265,0.833,0.757,0.996,0.295,54512076.56930522
7613,Aluminium Gas Containers,Aluminum articles,Metals,1.083,2.265,0.884,-1.281,1.058,0.329,15239908.635484137
8451,Textile Processing Machines,"Machinery, mechanical appliances, & parts",Machines,1.083,2.265,0.814,-0.34,1.169,0.378,229698766.94861677
3906,Acrylic Polymers,Plastics & articles thereof,Plastics and Rubbers,1.083,2.265,0.771,0.409,1.209,0.399,438243611.8180859
8480,Metal Molds,"Machinery, mechanical appliances, & parts",Machines,1.083,2.265,0.715,0.206,1.476,0.488,479591013.12291986
3818,Disc Chemicals for Electronics,Chemical products n.e.s.,Chemical Products,1.083,2.265,0.675,1.019,1.771,0.503,333371466.1931016
8305,Metal Office Supplies,Miscellaneous metal products,Metals,1.133,2.319,0.892,0.117,0.776,0.247,21296341.605341867
8517,Telephones,Electrical machinery and electronics,Machines,1.133,2.319,0.781,2.593,0.812,0.277,2647048737.993092
8535,High-voltage Protection Equipment,Electrical machinery and electronics,Machines,1.133,2.319,0.835,0.716,0.77,0.295,195763398.6664214
4006,Unvulcanised Rubber Products,Rubber & articles thereof,Plastics and Rubbers,1.133,2.319,0.847,-0.539,1.111,0.342,11496762.566620229
7009,Glass Mirrors,Glass & glassware,Stone And Glass,1.133,2.319,0.847,-0.536,0.883,0.342,176484586.12107566
8404,Boiler Plants,"Machinery, mechanical appliances, & parts",Machines,1.133,2.319,0.788,0.101,1.037,0.391,38846089.109939836
6805,Abrasive Powder,"Stone, plaster, cement, asbestos, mica.",Stone And Glass,1.133,2.319,0.737,0.473,1.241,0.443,121984003.35301109
3926,Other Plastic Products,Plastics & articles thereof,Plastics and Rubbers,1.133,2.319,0.748,0.005,1.025,0.453,2746902174.7480593
8455,Metal-Rolling Mills,"Machinery, mechanical appliances, & parts",Machines,1.133,2.319,0.696,-0.317,1.292,0.543,136054166.0155962
8428,Lifting Machinery,"Machinery, mechanical appliances, & parts",Machines,1.133,2.319,0.675,-0.071,1.296,0.56,877278641.4748026
8481,Valves,"Machinery, mechanical appliances, & parts",Machines,1.133,2.319,0.614,-0.023,1.466,0.646,2771645427.657378
2901,Acyclic Hydrocarbons,Organic chemicals,Chemical Products,1.183,2.374,0.886,0.661,0.551,0.227,0.0
2811,Other Inorganic Acids,Inorganic chemicals,Chemical Products,1.183,2.374,0.883,0.562,0.525,0.237,0.0
7229,Steel Wire,Iron & steel,Metals,1.183,2.374,0.819,0.138,0.833,0.346,66501877.075123794
3819,Hydraulic Brake Fluid,Chemical products n.e.s.,Chemical Products,1.183,2.374,0.803,-1.241,0.861,0.439,23863005.65721278
8433,Harvesting Machinery,"Machinery, mechanical appliances, & parts",Machines,1.183,2.374,0.745,-0.155,1.012,0.465,639353516.7612174
5911,Textiles for technical uses,"Coated, covered, & laminated fabrics for industrial use",Textiles,1.183,2.374,0.678,0.07,1.142,0.548,149150726.0585504
4806,Vegetable Parchment,Paper articles,Paper Goods,1.183,2.374,0.636,-2.161,1.401,0.73,66150454.62207913
9030,Oscilloscopes,"Optical, photo, & film equipment; medical instruments",Instruments,1.183,2.374,0.441,1.178,1.717,0.837,833427856.5113673
8515,Electric Soldering Equipment,Electrical machinery and electronics,Machines,1.183,2.374,0.399,-0.413,2.012,0.989,426763030.0699474
8209,Tool Plates,Tools & cutlery,Metals,1.183,2.374,0.321,-0.499,1.992,1.117,221287707.18285254
8520,Dictation Machines,Electrical machinery and electronics,Machines,1.233,2.428,0.875,2.316,0.411,0.162,0.0
8506,Batteries,Electrical machinery and electronics,Machines,1.233,2.428,0.773,1.863,0.684,0.324,198238924.67927375
4008,Rubber Sheets,Rubber & articles thereof,Plastics and Rubbers,1.233,2.428,0.743,0.09,0.883,0.455,116814716.86971906
8421,Centrifuges,"Machinery, mechanical appliances, & parts",Machines,1.233,2.428,0.695,-0.116,1.002,0.534,2188108957.788719
3005,Bandages,Pharmaceutical products,Chemical Products,1.233,2.428,0.648,-0.146,1.121,0.603,254349716.89003274
2842,Other Inorganic Acids Salts,Inorganic chemicals,Chemical Products,1.233,2.428,0.491,1.146,1.4,0.764,46583802.64939391
3919,Self-adhesive Plastics,Plastics & articles thereof,Plastics and Rubbers,1.233,2.428,0.495,0.415,1.346,0.798,720237278.8994932
9031,Other Measuring Instruments,"Optical, photo, & film equipment; medical instruments",Instruments,1.233,2.428,0.396,1.222,1.565,0.903,1590814039.7943003
8101,Tungsten,Cermet articles,Metals,1.233,2.428,0.438,-0.394,1.588,0.928,39962861.23549661
8466,Metalworking Machine Parts,"Machinery, mechanical appliances, & parts",Machines,1.233,2.428,0.426,-0.184,1.658,0.935,599618702.9514909
8477,Rubberworking Machinery,"Machinery, mechanical appliances, & parts",Machines,1.233,2.428,0.421,-0.381,1.67,0.954,938020593.041027
2926,Nitrile Compounds,Organic chemicals,Chemical Products,1.283,2.482,0.714,-0.59,0.95,0.531,158182540.21079075
9026,Gas and Liquid Flow Measuring Instruments,"Optical, photo, & film equipment; medical instruments",Instruments,1.283,2.482,0.531,-0.679,1.243,0.803,760462855.0315965
8483,Transmissions,"Machinery, mechanical appliances, & parts",Machines,1.283,2.482,0.477,-0.089,1.383,0.852,1997898273.817025
8208,Cutting Blades,Tools & cutlery,Metals,1.283,2.482,0.426,-1.028,1.614,0.981,115757698.31258704
3403,Lubricating Products,"Soap, cleaners, candles, dental, modelling pastes",Chemical Products,1.283,2.482,0.362,-1.158,1.661,1.089,375151772.3297588
8461,Metalworking Machines,"Machinery, mechanical appliances, & parts",Machines,1.283,2.482,0.302,-0.892,1.827,1.169,84452483.52006517
8420,Rolling Machines,"Machinery, mechanical appliances, & parts",Machines,1.283,2.482,0.236,-0.932,1.863,1.28,56270934.844881415
3705,Developed Exposed Photographic Material,Photo & movie goods,Chemical Products,1.283,2.482,0.008,0.026,2.344,1.619,61471153.3809203
2813,Nonmetal Sulfides,Inorganic chemicals,Chemical Products,1.333,2.536,0.785,-0.782,0.807,0.441,6393527.5790699525
6506,Other Headwear,Headgear,Footwear and Headwear,1.333,2.536,0.637,0.011,0.97,0.61,130956002.97710614
8467,Motor-working Tools,"Machinery, mechanical appliances, & parts",Machines,1.333,2.536,0.509,0.038,1.209,0.797,271112120.73237914
8419,Other Heating Machinery,"Machinery, mechanical appliances, & parts",Machines,1.333,2.536,0.403,0.165,1.38,0.95,1515125220.7400768
3702,Photographic Film,Photo & movie goods,Chemical Products,1.333,2.536,0.196,1.96,1.724,1.179,55403951.43216003
8479,Machinery Having Individual Functions,"Machinery, mechanical appliances, & parts",Machines,1.333,2.536,0.181,0.095,1.871,1.311,5772867578.798859
9027,Chemical Analysis Instruments,"Optical, photo, & film equipment; medical instruments",Instruments,1.333,2.536,0.175,-0.598,1.871,1.362,2197633356.679941
8457,Metalworking Transfer Machines,"Machinery, mechanical appliances, & parts",Machines,1.333,2.536,0.126,0.177,1.922,1.399,352520886.5108631
9010,Photo Lab Equipment,"Optical, photo, & film equipment; medical instruments",Instruments,1.333,2.536,0.083,0.365,2.072,1.465,1329122295.3482783
9105,Other Clocks,"Clocks, watches, & parts",Instruments,1.383,2.59,0.828,0.498,0.634,0.316,30826141.558385745
7907,Other Zinc Products,Zinc articles,Metals,1.383,2.59,0.832,-0.344,0.639,0.352,34023849.22147544
8417,Industrial Furnaces,"Machinery, mechanical appliances, & parts",Machines,1.383,2.59,0.594,-0.384,1.022,0.694,141289752.48325622
7220,Flat-Rolled Stainless Steel,Iron & steel,Metals,1.383,2.59,0.342,0.252,1.397,1.04,192721691.06171444
5903,Plastic Coated Textile Fabric,"Coated, covered, & laminated fabrics for industrial use",Textiles,1.383,2.59,0.312,0.859,1.525,1.054,431165233.9560987
2851,Inorganic Compounds,Inorganic chemicals,Chemical Products,1.383,2.59,0.253,1.126,1.505,1.134,47170166.60443269
8205,Other Hand Tools,Tools & cutlery,Metals,1.383,2.59,0.308,-1.278,1.649,1.183,297524098.55903405
3707,Photographic Chemicals,Photo & movie goods,Chemical Products,1.383,2.59,0.115,0.413,1.879,1.405,234063851.77307674
8444,Artificial Textile Machinery,"Machinery, mechanical appliances, & parts",Machines,1.383,2.59,0.066,-0.683,1.954,1.557,51568150.95678618
9012,Non-optical Microscopes,"Optical, photo, & film equipment; medical instruments",Instruments,1.383,2.59,0.027,-1.299,2.035,1.667,149929698.04987773
7616,Other Aluminium Products,Aluminum articles,Metals,1.433,2.644,0.792,0.636,0.598,0.359,466738723.67734265
8538,Electrical Power Accessories,Electrical machinery and electronics,Machines,1.433,2.644,0.531,0.893,0.987,0.718,1115158631.581522
8526,Navigation Equipment,Electrical machinery and electronics,Machines,1.433,2.644,0.433,0.53,1.14,0.884,671791222.1285185
8514,Electric Furnaces,Electrical machinery and electronics,Machines,1.433,2.644,0.419,-0.313,1.292,0.952,188781055.29748863
7415,Copper Fasteners,Copper articles,Metals,1.433,2.644,0.438,-0.904,1.241,0.957,42850004.27334837
8485,Boat Propellers,"Machinery, mechanical appliances, & parts",Machines,1.433,2.644,0.288,-0.406,1.393,1.163,395800384.6768308
8464,Stone Working Machines,"Machinery, mechanical appliances, & parts",Machines,1.433,2.644,0.266,-0.033,1.388,1.179,105281413.31299402
8462,Forging Machines,"Machinery, mechanical appliances, & parts",Machines,1.433,2.644,0.265,-0.47,1.441,1.205,363031061.45281196
2920,Other Esters,Organic chemicals,Chemical Products,1.433,2.644,0.157,0.188,1.658,1.346,75891032.51848008
9024,Tensile Testing Machines,"Optical, photo, & film equipment; medical instruments",Instruments,1.433,2.644,0.203,-1.705,1.576,1.381,102017747.04065384
8113,Cermets,Cermet articles,Metals,1.433,2.644,0.113,0.13,1.624,1.426,46928972.36731753
