Product,Name,Type_HS2,Group_Section,first_target_ECI,growth_at_target,RCA_2022,RelativeRelatedness,PCI_2032,Effort,Added_volume_USD
2927,"Diazo, Azo or Aoxy Compounds",Organic chemicals,Chemical Products,0.983,3.323,0.99,2.052,0.941,0.021,3725988.020271328
8501,Electric Motors,Electrical machinery and electronics,Machines,0.983,3.323,0.987,0.805,0.947,0.085,452288382.6190598
8532,Electrical Capacitors,Electrical machinery and electronics,Machines,0.983,3.323,0.859,3.492,1.033,0.128,232699113.30874568
8703,Cars,"Cars, tractors, trucks & parts thereof.",Transportation,0.983,3.323,0.964,0.402,0.942,0.135,6001292973.838416
7320,Iron Springs,Iron/Steel Articles,Metals,0.983,3.323,0.935,0.465,1.111,0.171,64645383.92744446
7315,Iron Chains,Iron/Steel Articles,Metals,0.983,3.323,0.94,-0.829,1.56,0.229,53939749.03845065
7105,Precious Stone Dust,"Precious stones, metals, & pearls",Precious Metals,0.983,3.323,0.9,-0.09,1.494,0.246,4351647.326646882
8523,Blank Audio Media,Electrical machinery and electronics,Machines,0.983,3.323,0.772,2.534,1.692,0.292,464647433.5122131
5404,Synthetic Monofilament,Man-made filaments,Textiles,1.033,3.375,0.998,1.337,0.236,0.043,0.0
6905,Roofing Tiles,Ceramic products,Stone And Glass,1.033,3.375,0.947,0.25,0.744,0.165,6871516.296970179
7319,Iron Sewing Needles,Iron/Steel Articles,Metals,1.033,3.375,0.852,1.889,1.009,0.214,2879265.9418401257
8505,Electromagnets,Electrical machinery and electronics,Machines,1.033,3.375,0.871,1.291,0.963,0.216,97762683.5480343
8472,Other Office Machines,"Machinery, mechanical appliances, & parts",Machines,1.033,3.375,0.862,0.504,1.094,0.268,48762555.420361
7412,Copper Pipe Fittings,Copper articles,Metals,1.033,3.375,0.905,-1.0,1.178,0.286,58771559.25766164
8207,Interchangeable Tool Parts,Tools & cutlery,Metals,1.033,3.375,0.828,-0.134,1.757,0.347,253073739.77498552
8413,Liquid Pumps,"Machinery, mechanical appliances, & parts",Machines,1.033,3.375,0.815,-0.294,1.543,0.373,803686052.08617
3810,Metal Pickling Preparations,Chemical products n.e.s.,Chemical Products,1.033,3.375,0.752,0.515,1.565,0.42,21132834.71402049
2922,Oxygen Amino Compounds,Organic chemicals,Chemical Products,1.083,3.427,0.959,-0.156,0.713,0.169,157633150.64947355
8525,Broadcasting Equipment,Electrical machinery and electronics,Machines,1.083,3.427,0.883,0.811,0.745,0.225,4353830459.121908
5906,Rubber Textile Fabric,"Coated, covered, & laminated fabrics for industrial use",Textiles,1.083,3.427,0.908,0.023,0.907,0.23,15217767.231583992
8518,Microphones and Headphones,Electrical machinery and electronics,Machines,1.083,3.427,0.842,1.374,0.807,0.253,463563606.3214499
8546,Electrical Insulators,Electrical machinery and electronics,Machines,1.083,3.427,0.833,0.757,0.996,0.295,25348256.311162617
7613,Aluminium Gas Containers,Aluminum articles,Metals,1.083,3.427,0.884,-1.281,1.058,0.329,7110198.203757725
8451,Textile Processing Machines,"Machinery, mechanical appliances, & parts",Machines,1.083,3.427,0.814,-0.34,1.169,0.378,111023283.58257408
3906,Acrylic Polymers,Plastics & articles thereof,Plastics and Rubbers,1.083,3.427,0.771,0.409,1.209,0.399,215652202.47756413
8480,Metal Molds,"Machinery, mechanical appliances, & parts",Machines,1.083,3.427,0.715,0.206,1.476,0.488,245611690.00510684
3818,Disc Chemicals for Electronics,Chemical products n.e.s.,Chemical Products,1.083,3.427,0.675,1.019,1.771,0.503,173094797.37095946
8305,Metal Office Supplies,Miscellaneous metal products,Metals,1.133,3.479,0.892,0.117,0.776,0.247,9531370.069805484
8517,Telephones,Electrical machinery and electronics,Machines,1.133,3.479,0.781,2.593,0.812,0.277,1235881037.6606715
8535,High-voltage Protection Equipment,Electrical machinery and electronics,Machines,1.133,3.479,0.835,0.716,0.77,0.295,90989232.43109073
4006,Unvulcanised Rubber Products,Rubber & articles thereof,Plastics and Rubbers,1.133,3.479,0.847,-0.539,1.111,0.342,5437671.141923786
7009,Glass Mirrors,Glass & glassware,Stone And Glass,1.133,3.479,0.847,-0.536,0.883,0.342,83515007.95098047
8404,Boiler Plants,"Machinery, mechanical appliances, & parts",Machines,1.133,3.479,0.788,0.101,1.037,0.391,18980854.22271492
6805,Abrasive Powder,"Stone, plaster, cement, asbestos, mica.",Stone And Glass,1.133,3.479,0.737,0.473,1.241,0.443,61374941.31241609
3926,Other Plastic Products,Plastics & articles thereof,Plastics and Rubbers,1.133,3.479,0.748,0.005,1.025,0.453,1382429023.6400845
8455,Metal-Rolling Mills,"Machinery, mechanical appliances, & parts",Machines,1.133,3.479,0.696,-0.317,1.292,0.543,70976188.7283619
8428,Lifting Machinery,"Machinery, mechanical appliances, & parts",Machines,1.133,3.479,0.675,-0.071,1.296,0.56,461643061.69866425
8481,Valves,"Machinery, mechanical appliances, & parts",Machines,1.133,3.479,0.614,-0.023,1.466,0.646,1504117208.5942476
2901,Acyclic Hydrocarbons,Organic chemicals,Chemical Products,1.183,3.532,0.886,0.661,0.551,0.227,228473723.04392168
2811,Other Inorganic Acids,Inorganic chemicals,Chemical Products,1.183,3.532,0.883,0.562,0.525,0.237,0.0
7229,Steel Wire,Iron & steel,Metals,1.183,3.532,0.819,0.138,0.833,0.346,31724562.532319233
3819,Hydraulic Brake Fluid,Chemical products n.e.s.,Chemical Products,1.183,3.532,0.803,-1.241,0.861,0.439,11808901.109441407
8433,Harvesting Machinery,"Machinery, mechanical appliances, & parts",Machines,1.183,3.532,0.745,-0.155,1.012,0.465,323110250.3990123
5911,Textiles for technical uses,"Coated, covered, & laminated fabrics for industrial use",Textiles,1.183,3.532,0.678,0.07,1.142,0.548,78215900.55598667
4806,Vegetable Parchment,Paper articles,Paper Goods,1.183,3.532,0.636,-2.161,1.401,0.73,36224159.719152726
9030,Oscilloscopes,"Optical, photo, & film equipment; medical instruments",Instruments,1.183,3.532,0.441,1.178,1.717,0.837,481973988.7776304
8515,Electric Soldering Equipment,Electrical machinery and electronics,Machines,1.183,3.532,0.399,-0.413,2.012,0.989,252185579.70369875
8209,Tool Plates,Tools & cutlery,Metals,1.183,3.532,0.321,-0.499,1.992,1.117,133758369.3109811
8520,Dictation Machines,Electrical machinery and electronics,Machines,1.225,3.575,0.875,2.316,0.411,0.162,11019797.663968088
8506,Batteries,Electrical machinery and electronics,Machines,1.225,3.575,0.773,1.863,0.684,0.324,94741230.80679265
8421,Centrifuges,"Machinery, mechanical appliances, & parts",Machines,1.225,3.575,0.695,-0.116,1.002,0.534,1139118908.980244
3005,Bandages,Pharmaceutical products,Chemical Products,1.225,3.575,0.648,-0.146,1.121,0.603,135871592.94766682
2842,Other Inorganic Acids Salts,Inorganic chemicals,Chemical Products,1.225,3.575,0.491,1.146,1.4,0.764,26439230.06609468
9031,Other Measuring Instruments,"Optical, photo, & film equipment; medical instruments",Instruments,1.225,3.575,0.396,1.222,1.565,0.903,934473507.5857042
8101,Tungsten,Cermet articles,Metals,1.225,3.575,0.438,-0.394,1.588,0.928,23319656.065590613
8466,Metalworking Machine Parts,"Machinery, mechanical appliances, & parts",Machines,1.225,3.575,0.426,-0.184,1.658,0.935,350965683.47996926
8477,Rubberworking Machinery,"Machinery, mechanical appliances, & parts",Machines,1.225,3.575,0.421,-0.381,1.67,0.954,550424529.5726299
