country,co2_reduction,unemp_reduction,eci_required,max_feasible,capped,eci_target_used,n_products,investment_usd_bn,attainable_growth_pct,growth_no_optimization_pct,optimization_gain_pp
tha,-2.0,0.0,1.19,1.806,False,1.19,49,20.4,3.5,3.18,0.32
tha,-2.0,2.0,0.946,1.806,False,0.946,3,0.5,3.5,3.48,0.02
tha,-2.0,4.0,0.736,1.806,False,0.736,0,0.0,3.5,3.78,-0.28
tha,0.0,0.0,1.84,1.806,True,1.786,257,184.8,3.44,2.49,0.95
tha,0.0,2.0,1.517,1.806,False,1.517,114,53.4,3.5,2.79,0.71
tha,0.0,4.0,1.243,1.806,False,1.243,60,24.8,3.5,3.09,0.41
tha,2.0,0.0,2.661,1.806,True,1.786,257,184.8,2.64,1.8,0.84
tha,2.0,2.0,2.223,1.806,True,1.786,257,184.8,3.03,2.1,0.92
tha,2.0,4.0,1.86,1.806,True,1.786,257,184.8,3.41,2.4,1.01
tha,4.0,0.0,3.728,1.806,True,1.786,257,184.8,1.84,1.11,0.73
tha,4.0,2.0,3.12,1.806,True,1.786,257,184.8,2.23,1.41,0.81
tha,4.0,4.0,2.627,1.806,True,1.786,257,184.8,2.61,1.71,0.9
mex,-2.0,0.0,1.547,2.045,False,1.547,72,40.5,3.5,2.75,0.75
mex,-2.0,2.0,1.266,2.045,False,1.266,40,24.2,3.5,3.05,0.45
mex,-2.0,4.0,1.026,2.045,False,1.026,12,4.6,3.5,3.35,0.15
mex,0.0,0.0,2.269,2.045,True,2.025,221,242.8,3.24,2.07,1.17
mex,0.0,2.0,1.896,2.045,False,1.896,142,157.0,3.5,2.37,1.13
mex,0.0,4.0,1.581,2.045,False,1.581,77,43.0,3.5,2.67,0.83
mex,2.0,0.0,3.19,2.045,True,2.025,221,242.8,2.41,1.38,1.03
mex,2.0,2.0,2.682,2.045,True,2.025,221,242.8,2.82,1.68,1.14
mex,2.0,4.0,2.262,2.045,True,2.025,221,242.8,3.23,1.98,1.25
mex,4.0,0.0,4.404,2.045,True,2.025,221,242.8,1.58,0.69,0.89
mex,4.0,2.0,3.69,2.045,True,2.025,221,242.8,1.99,0.99,1.0
mex,4.0,4.0,3.117,2.045,True,2.025,221,242.8,2.4,1.29,1.11
